#name	#KEGG Compound ID	G1_Z_1	G1_Z_2	G1_Z_3	G1_Z_4	G1_Z_5	G1_Z_6	G2_Z_1	G2_Z_2	G2_Z_3	G2_Z_4	G2_Z_5	G2_Z_6	G3_Z_1	G3_Z_2	G3_Z_3	G3_Z_4	G3_Z_5	G3_Z_6
S-Adenosylhomocysteine	C00021	46.58576394	43.45194459	44.92927693	49.7674872	41.65185087	44.77586673	781.7910798	970.1392599	686.7961824	878.3447919	892.4266376	767.2868102	27.37426709	11.19226275	33.359729	19.18389811	0	10.6823328
Succinic Acid	C00042	10.42517864	11.1978722	22.13538762	12.13197599	13.02981552	17.91271945	1.666347498	20.10260988	0.914657385	36.59668967	12.00252561	0	4.85150353	17.3608846	1.611020485	1.123759464	3.782786313	13.91694917
Sulfate	C00059	2750.514445	2693.622407	2819.632384	2471.270009	2574.063018	2746.003344	7858.621862	4850.026819	9053.489087	7204.5224	10167.35051	11812.46405	14067.47172	13850.75758	13489.60853	18426.07046	12023.51777	18700.17388
Riboflavin	C00061	1974.741548	2009.953775	1876.855196	2021.319851	2057.564885	1967.999466	531.4404828	425.5350063	717.2175944	887.2994707	984.2950782	997.4563632	10.95707958	38.59826438	30.32624859	20.82081122	6.146325716	37.87752375
L-Phenylalanine	C00079	29.90097254	33.50020044	34.15346082	34.6038348	33.68754014	33.84850239	51.15191214	51.4948006	49.55316294	54.02861507	56.5546067	49.82361215	227.1504794	212.2513125	201.6678993	204.6813714	180.9668766	221.0810381
L-Tyrosine	C00082	121.4394244	119.948224	115.1022786	116.328464	102.2506181	121.8051601	0	0	1.634883504	0	1.445161132	1.32038327	19.04287929	21.95138779	24.15071146	23.33829915	0	17.37463239
4-Hydroxybenzoic Acid	C00156	29.46388048	34.44529831	31.73892767	29.24532024	31.16013049	32.50013768	72.76834153	71.40086489	74.86787665	76.68351266	79.48482611	83.26285144	3.117542441	9.26033116	0.266978169	8.088560833	4.97871544	0
Phosphatidylcholine	C00157	151.2458858	88.30440319	122.98561	144.4249561	140.4853067	133.9736219	262.9148671	302.5107147	393.7182107	325.9720203	374.7243369	525.209732	1251.561788	1534.872137	1685.057962	2046.982037	1357.492211	1661.220633
Diglyceride	C00165	3211.133837	3519.822233	3421.560479	3109.132762	3085.737289	3612.65487	11288.57321	11238.67596	10847.18337	11283.68164	10779.72425	11612.49951	40989.23372	37202.13976	37471.87287	42033.76132	44326.66723	39471.5402
5'-Methylthioadenosine	C00170	933.1635676	1087.629822	988.7330888	932.2325666	954.8557246	985.3875302	203.1343515	161.9684745	230.7160137	263.1282115	242.4144672	232.2815497	239.0137779	271.5715195	283.0518091	234.6373009	15.65569301	362.6996085
Benzoic Acid	C00180	55.81145328	54.20665614	55.50137219	49.27562546	59.37205137	57.09521193	44.46910057	47.17185166	80.89666419	66.66649438	69.63471436	78.96913587	57.87359082	81.72681949	33.96872733	28.05042795	48.64233213	36.36701996
D-Lactic acid	C00186	4.449371898	7.794883374	9.406913531	7.648594542	7.660013194	7.244711861	152.0213833	112.0174788	48.7237656	39.51032238	139.6309427	44.98377356	15.1407333	17.78848889	11.92562801	16.29780343	16.64246201	68.83488074
Cotinine glucuronide	C00190	8.49173524	6.561469583	6.307656345	7.424872312	6.400732294	9.334052871	135.3546655	163.1254674	185.1603927	254.4844169	206.6133505	164.6942173	0	0	0	6.072990621	0	0
Thymidine	C00214	32.99548313	25.97936662	31.13612311	30.31115566	26.67205189	32.04338169	43.54308257	32.62399825	37.81634815	41.77348315	30.5277873	43.90352039	88.13342868	55.88947445	58.77773761	80.25316139	46.83295684	64.19085867
Palmitic acid	C00249	3024.011842	3719.070759	3571.244654	3405.249772	3299.233072	3372.800161	19390.31943	17035.72406	25161.35992	20017.97738	15191.17945	15074.0878	51426.2839	51423.09965	60711.53173	56216.88959	59859.59505	48657.62461
CDP-diacylglycerol	C00269	322.0875815	302.2374167	323.5292845	317.022214	298.1120665	313.0540307	0	0	0	0	0	0	0	0	0	0	0	0
Canavanine	C00308	1.986568464	1.55682702	3.450586648	2.688540263	3.628461861	2.6153127	0.435914406	1.992131162	0.600334356	0.166479468	0.095959706	3.39510557	0.210166571	0.327004021	0.107334504	0.016716347	0.003583463	0.065531786
L-Kynurenine	C00328	12.7646183	1.060284564	2.174867704	6.524735797	4.91706545	3.091596687	0	0	0	0	0	0	0	0	0	0	0	0
Glucosamine	C00329	268.4854685	306.0173869	374.7215749	366.8028634	329.0418361	327.3376641	23.71751631	40.90569816	77.04877176	87.9164049	77.36086639	75.38371173	0	0	0	0	0	0
Phosphatidylglycerol	C00344	18184.35309	17611.70696	17562.40294	19999.31918	16478.82592	17721.06802	11498.29305	12950.34961	12253.91302	12099.68744	10643.97226	14211.33167	44083.98806	47748.23343	58213.86061	55661.01615	55411.40019	51360.22481
Phosphatidylethanolamine	C00350	29586.26599	29802.28444	28882.53606	32763.36675	27751.65573	29725.46283	7396.161313	8625.554624	6316.243935	8097.237124	7072.577677	7594.215677	26615.93314	27407.95188	29509.99737	30091.55402	34154.9093	22224.60844
Astin I	C00373	1420.077048	1760.588568	1544.009846	1374.856661	1494.347935	1503.796462	127.3648708	158.8634673	194.824652	171.9024838	243.5848955	171.4861693	0	0	0	0	0	0
Thiamine	C00378	0	0	0	0	0	0	8.576672873	7.423683044	0	0.338720228	0	0.055055325	0	0	0	0	0	0
Tobramycin	C00397	293.9551901	289.5346193	322.7797111	264.7927978	291.3989775	304.1416304	173.4932397	144.6526694	179.4394645	161.1402549	194.106445	132.8250187	1095.615584	1376.364703	1222.244768	1169.662148	830.8117034	1038.803879
"PA(22:2(13Z,16Z)/16:0)"	C00416	255.4024625	312.3081836	232.0270776	223.1281379	288.9988803	257.6082463	0	0	0	0	0	0	0	0	0	0	0	0
Saccharopine	C00449	60.19238877	67.06431024	71.03557381	71.76172284	69.30993835	66.32430058	13.87857759	12.829939	8.887132664	23.49875657	21.28834361	17.97217583	0	0	0	0	0	0
Allantoic acid	C00499	61.33437289	53.7900312	60.166716	62.67797151	57.406773	58.79015115	1.485587354	0	3.363319144	2.752001254	11.20929304	1.906691521	6.653631643	3.775519955	5.753421893	0.173744484	0.730980515	3.124282206
Rhamnose	C00507	11.13727972	16.6230326	15.12947927	14.66576236	18.70647794	15.48164172	10.48911952	8.326482845	17.68051413	25.81055564	21.909856	10.1425525	6.886523716	13.26688889	12.50544647	3.584478273	5.867493513	5.793813238
Norepinephrine	C00547	30.97252234	26.04810737	29.64397623	29.45419624	27.64344021	28.53617184	2.844433942	1.655745556	0.209752179	1.784205253	0.109840454	0.889304702	194.7192128	146.5891385	144.0281763	112.8558681	88.6183955	116.0462662
Prostaglandin E2	C00584	191.3017854	190.6452655	217.1943688	209.4740814	204.4329646	239.1893256	809.4231577	792.4976622	757.493688	837.7054186	733.180778	806.1224942	2983.874709	3184.033047	2927.501856	3063.31997	2867.978499	2715.970841
"5,6-Dihydro-1,10-phenanthroline"	C00604	509.7492893	472.7947018	472.5144003	490.6679953	527.7505291	453.5224183	233.2899553	219.4120184	244.390983	297.1423013	252.4964815	257.7085832	255.53689	201.9348414	295.6178493	264.0658419	172.0465305	280.7229048
PI(16:1(9Z)/18:1(9Z))	C00626	0	0	0	0	0	0	306.6975702	194.3182874	132.3116252	114.6846845	136.1865972	59.92539509	0	0	0	0	0	12.85178484
N-Acetylmannosamine	C00645	139.2137992	127.7431911	156.8286748	124.8551818	134.3276008	134.5266193	5.792297321	6.942933576	4.60525481	9.919037142	15.70059391	11.72308048	27.82222016	12.79067419	0	16.13727703	0	33.83160659
11-Epicortisol	C00735	467.4866561	476.5107673	497.4368916	460.8150374	491.6949033	549.8541326	833.5341451	969.7676917	1100.880185	1172.02821	874.814847	968.9802219	1023.530181	1142.192558	1133.925949	1060.179522	929.078754	1093.948969
(+/-)-Tryptophan	C00806	29.31511066	40.44426143	34.90060748	30.84132728	33.02639154	38.45418227	19.00133151	25.83035628	17.31027436	33.21647486	24.02197399	21.51310896	20.44958114	5.147982082	14.45260498	8.708892228	0	76.05982789
P-Coumaric Acid	C00811	151.3596875	147.3624802	150.8815181	149.7208919	167.0388011	133.4758199	3.02544334	0	8.390788304	4.948530553	23.4049041	29.72314224	24.83750116	36.54495662	30.45164705	27.16380914	12.82917317	27.07462023
Barbituric acid	C00813	60.52574201	59.31056075	74.99351556	58.28838852	77.17541816	63.95949706	0.016113373	0.07568692	2.655035575	2.254196686	0.008107372	0.209312991	551.1165077	389.283498	423.2334623	506.426824	293.5311332	376.7668385
L-arogenate	C00826	16.61183496	16.86687674	20.89442448	27.07778696	21.31314618	14.62925268	26.5409592	37.31564261	30.13841547	26.97552626	33.50608544	29.02903497	25.81277638	58.2422773	124.3379496	47.68148005	31.70022055	26.27386316
Withanolide B	C00828	375.35072	372.4008268	357.19076	340.8339281	355.1850656	345.559898	0	0	0	0	0	0	0	0	0	0	0	0
Paromomycin	C00832	75.36262536	80.37388196	88.08546509	70.34077205	93.91710284	84.89953479	500.6009451	618.7491865	1.383258038	4.585137615	0	3.83406963	0	0	0	0	1243.602958	2.761935901
Deoxycytidine	C00881	375.6239585	342.8802593	380.8971775	371.2183882	367.2163066	369.5956806	138.3994569	167.9541336	212.9304545	213.7729749	217.00942	190.4229376	0	0	1.159355477	0	0	0
Tryptophol	C00955	8.000349	9.315092576	7.581728544	12.69070866	10.67100349	9.580897265	113.2260942	96.86153594	85.08494101	114.4576142	113.4143686	89.15187554	2689.782757	2563.666404	2589.480677	2475.523126	2704.604034	2298.85894
Aminoadipic acid	C00956	32.3841984	32.63862174	33.81480514	31.53737297	34.86506275	34.81304416	39.13075049	44.9796656	44.38179992	44.5707688	41.23565339	41.5661653	204.0531322	210.0258221	195.0606852	170.1719886	146.0959469	185.6609102
"3',5'-Cyclic Damp"	C00968	47.98807852	50.73924612	52.60322156	56.48705235	53.61424123	56.90717605	0	5.501564434	11.24288486	0	0	0	261.1227892	274.2088917	233.8033188	251.8737837	176.9513893	286.0251255
Trehalose	C01083	84.79090388	88.41728204	89.85310285	92.9040408	89.92158319	95.65066044	0.087844443	0.952389104	15.97227713	19.80799567	21.69397004	30.23426857	421.0009848	449.0575934	421.8276155	467.812832	284.345721	360.6360808
S-adenosyl-L-methioninamine	C01137	900.9385904	922.3710064	939.0775455	914.181375	931.5780678	914.9004143	758.6338611	785.3630412	785.3544427	994.1242814	930.4996555	925.872513	53.04482524	130.3873991	116.0348939	29.10322053	0	46.4325696
12-oxo-PDA	C01226	331.2480308	306.2373335	328.1536475	306.5957754	324.2122218	342.0764758	102.2499276	106.5396582	127.8665703	165.1499302	120.3677619	121.7276966	136.843746	161.6115115	167.3072179	129.2558394	110.5813225	122.6018114
N-Acetyl-b-glucosaminylamine	C01239	1766.078996	1773.246769	1856.799203	1817.110015	2237.671183	1689.28019	270.2423975	285.2401019	353.8819715	314.1760731	362.1858944	344.8744269	3474.042598	2714.207468	3162.237052	3035.451047	2246.541861	3118.366589
Anserine	C01262	103.2581798	94.42052314	100.7644211	92.56795011	108.0259371	111.7734604	41.36313389	39.21899517	70.93641578	58.47697896	84.29004126	84.44492406	6.453974338	29.49420497	28.91902274	27.95692962	24.04951171	30.30247596
6-Hydroxysandoricin	C01536	1.256008368	0	2.540190877	0.623639397	2.084866484	0	615.0740444	496.4434881	205.3942689	595.9017767	124.4189059	145.3486655	0	0	0	0	0	0
Apramycin	C01555	66.57979187	71.51859507	74.97530357	68.70041172	67.18262331	67.01544507	93.20121543	88.19373038	83.91559107	113.7583583	98.67355249	105.0259236	588.1084107	485.6244167	476.1454155	416.1719593	320.2715337	494.9191733
Hippuric Acid	C01586	0.518020585	0.251003165	0.422261069	0.41916537	0.173895172	0	2.566198152	0	2.499873163	5.959459618	7.045783458	6.871814429	0	0	0	0	0	0
Pelargonic acid	C01601	47.24531638	34.34309778	40.4227131	76.56191103	70.4047771	60.44097328	166.9079102	184.813711	172.8696368	210.7884091	193.7625932	115.7559408	816.1661823	1327.903429	881.3543896	852.0527429	705.3954352	1020.765302
Puromycin	C01610	56.12182983	29.87158142	34.7424958	27.56824981	48.10980591	34.50726912	306.9568217	387.8354551	241.8270147	263.3617986	181.8678245	233.8211753	0	0	0	0	0	0
Xylobiose	C01630	1616.000861	1587.276249	1644.214684	1688.376241	1670.133479	1593.836831	88.70328331	103.7075778	494.8724521	505.5577233	579.0531177	467.4518432	66.48672736	79.91055285	74.57376302	69.76619444	38.36823966	59.66713195
N-Acetyltyrosine	C01657	24.50998491	26.80064794	27.28588367	37.37935149	26.23262525	18.78922491	25.25815748	23.06939161	24.88111481	18.43919099	21.17251633	25.27405805	43.06585072	71.36269829	157.7700178	22.3721663	49.40920316	37.06917316
"N,N'-diacetylchitobiose"	C01674	0	0	0	0	0	0	12.97876494	7.082908358	9.221554132	13.93799098	17.84396238	21.83508456	0.274716492	5.752102432	5.023096555	3.196838649	0	4.080450193
Kynurenic Acid	C01717	151.9293929	201.1649639	172.4895645	149.6459282	161.6182014	176.5576165	69.48241615	68.63063687	65.13905669	73.28060504	48.00986437	61.64679468	118.0031504	97.86515114	84.12974773	50.40311763	64.26782187	83.05915177
Lumichrome	C01727	1024.64142	878.8320951	881.7637481	890.1862708	931.0687004	1036.699069	568.5081641	793.0486265	568.6829486	657.5925036	672.9779226	628.1011415	159.7951564	133.972986	143.4480678	177.0928525	89.04750023	156.2310907
3-Deazaadenosine	C01736	164.6244647	154.2185449	156.3672349	157.4670285	155.1226253	171.713093	76.99756155	67.26207102	94.38829643	109.0835777	114.0669305	113.9062164	67.49359772	124.2125872	72.16581581	64.17447047	30.90355242	78.37778127
Ribostamycin	C01759	54.43943726	53.55767435	74.46242746	67.8361401	89.65843465	71.06410543	14.06417663	8.480324517	18.1564817	16.72272176	27.19665315	12.71576349	11.32345628	8.90893947	0	27.82430708	0.000672888	0
D-Erythrose	C01796	126.2135744	128.7635276	124.8874085	129.0295581	122.171726	113.8342756	39.60773951	56.6508868	107.2061325	142.6097374	160.1794996	137.3962418	19.76806417	21.8298316	15.19559782	27.04167125	7.363850232	20.00370824
Haloperidol	C01814	248.8378096	278.7332119	276.2016776	242.3713975	259.6752275	276.4227579	516.4211913	564.651806	519.5976883	934.8410568	683.2319544	867.6035061	9.67245449	13.57635323	0	0	0	31.49678974
Pravastatin	C01844	358.6396451	312.3350243	264.0598589	310.0142917	332.5855808	283.8382763	0	0	0	0	0	0	0	0	0	0	0	0
4-Oxo-L-proline	C01877	59.16203224	77.64015981	68.42986365	61.13800382	62.71247976	99.40890408	506.521036	415.2807986	442.9975444	377.0492958	675.8662688	487.6637629	11.44975017	12.22922246	16.77282915	14.72512939	2.697681474	16.01432045
Pyroglutamic acid	C01879	19.24831124	28.06376389	25.79873191	22.51686671	22.76592501	29.0666079	288.1402982	255.7027242	326.1134537	293.3079139	296.4341077	321.9598273	510.0948263	412.5533884	328.7783248	430.5639741	370.5265988	1008.408959
Dethiobiotin	C01909	127.1844518	130.9626606	140.2290855	143.720207	125.5827472	134.7646927	1.112281141	3.648849414	7.306838805	4.453282528	11.22103834	8.625302341	0	0	0	0	0	0
Cyclopentanol	C02020	13.92087139	12.40873131	13.17230271	14.37597774	13.26750998	14.48562379	63.86884997	60.87578199	69.59337239	71.29200214	65.56995913	70.91241685	335.5993857	281.0358721	292.258815	291.8840398	238.8746661	249.9940445
Pseudouridine	C02067	378.1066236	326.1471499	306.1092111	327.3796179	321.6259793	360.4879172	380.8251637	420.4635228	463.4659004	612.8260829	399.3910713	482.0637369	297.656823	426.3231216	380.773803	339.8547365	185.3879085	280.8214537
Methylmalonic acid	C02170	16.41947629	20.56296059	24.23505405	16.62886488	16.61619564	20.94098402	5.676090344	8.309736484	7.853629304	11.29115241	15.4398094	12.92988528	0	0	0	0	3.705407929	5.73266203
Protoporphyrin IX	C02191	43.40341818	54.89215638	69.0987925	37.94132823	70.74690615	72.80867718	27.36680084	13.61496626	20.25286985	12.29631888	20.20383998	9.411880553	0	0	0	0	0	0
Castanospermine	C02256	606.3851153	572.7932663	585.9228803	583.2627665	583.9665511	641.7209569	161.2802814	143.6990117	223.0021272	251.4627007	291.1947473	234.822737	56.58403265	79.42789867	60.78543445	31.08889221	4.996168549	54.84146481
Pentostatin	C02267	118.3303576	114.5426194	161.0486896	122.235865	136.835204	154.7207753	29.15366017	40.27066559	27.43899875	25.76981629	13.14405416	20.03237146	7.936699953	5.060921098	7.467338637	9.208567087	0	7.546228326
Alpha-Aminobutyric acid	C02356	8.22794638	9.906074624	9.685317271	13.08493288	14.38723198	10.05966399	42.38064542	38.44540303	133.0054944	171.6855711	70.33767518	139.168999	309.6944536	233.0184988	272.9618916	288.9733332	171.395755	607.2758701
(S)-(-)-Perillyl alcohol	C02452	0	0	0.819113738	0	1.232728266	0	4.832247125	6.245181541	13.46191027	0	10.76907584	11.25633752	31.59567923	42.99631663	26.6746881	53.3801764	26.90090494	39.25949554
2-Isopropylmalic acid	C02504	1427.745819	1383.505439	1550.715193	1529.124085	1289.388396	1580.087285	1303.19723	1546.964547	1775.338731	1542.006428	2051.261173	1866.306061	408.6394715	409.9883828	355.9084729	383.4708874	226.515461	303.3358714
"CE(22:4(7Z,10Z,13Z,16Z))"	C02530	165.156852	188.669207	188.5832197	160.2417739	159.9768499	173.1786117	0	0	0	0	0	0	14.25008937	33.50353017	0	13.40991198	13.83488251	32.67493922
Dodecanedioic acid	C02678	112.488458	108.4815364	109.3311706	109.3700993	118.5253007	109.3419417	2.485826777	2.638248898	5.855440562	3.856306354	3.747883725	3.495248431	0.121217137	0	0	0	0	3.021922155
N-Acetylmuramate	C02713	16.46984708	15.24288773	24.34188746	18.08806027	20.53231486	24.42950466	17.16061812	34.34550782	36.91990791	29.4732473	30.17969404	33.96161894	13.11785402	23.88472589	19.53935603	20.24790849	13.22678183	25.68493724
Phosphatidylserine	C02737	1751.632407	1635.141717	1535.754832	1675.897218	1800.026913	1681.11112	659.765246	630.5358742	666.0699461	752.6768805	624.231004	719.1914358	2620.785551	2733.253222	2764.873916	2667.590045	2647.811014	2541.716856
10-Hydroxydecanoic acid	C02774	42.14235208	41.3994508	48.62646208	39.55460703	39.83446041	49.9129283	6.232118443	11.68052421	25.3002295	20.47178898	29.16614811	13.16060259	22.81458622	32.39388132	39.32483941	27.35837192	2.141847492	32.17919404
2-Methylpropanamine	C02787	11.60976095	11.66796108	19.69736069	9.766254858	13.45351938	14.05818829	49.6626793	86.01738557	60.74254348	70.5268452	42.31581732	57.09114698	208.6392347	180.6431815	180.8153085	170.2458524	188.6277651	145.9885705
Norlaudanosoline	C02916	157.0224485	192.4634692	175.377277	159.8126292	171.9683737	178.5491883	9.605441201	11.79099251	14.19606144	10.05156784	20.81068407	13.7636574	114.5924036	97.97081878	129.9808136	120.4638864	31.02207815	97.86931497
L-3-Aminodihydro-2(3H)-furanone	C02926	32.90115781	45.24841347	40.61202804	34.39690066	34.9449674	41.12194239	117.6176935	113.6539541	105.8476954	105.6049314	95.03345274	117.9346162	502.3752812	476.5595983	500.4700368	506.0835623	491.9563404	413.5155082
Arabinofuranosylcytosine	C02961	506.472153	483.1634669	441.2142124	441.2456033	452.7763713	342.2003513	0	0.779594547	5.685128587	0.83199554	1.951080274	3.618099131	0	0	0	0	0	0
Tyramine glucuronide	C03033	993.4617362	977.1373506	1026.379117	949.9203481	1026.242241	1073.252166	320.4515395	327.255523	483.858542	535.3502425	518.44496	429.16013	2303.834678	2702.690557	2546.795157	1960.680718	1572.726553	1801.392789
(Z)-4-Hydroxy-6-dodecenoic acid lactone	C03107	29.61879614	42.76732795	42.3345129	38.11150408	39.16483601	37.27688505	2.740055141	8.844868468	10.62260278	12.40115733	13.88448398	12.01009241	1.246210816	8.564685086	10.5318925	53.32550571	8.662226643	0.778189201
Trypanothione disulfide	C03170	25.82329471	27.16366824	25.31519301	24.74111135	22.72180588	22.26325969	0	0	1.736811175	0	0	0	0	0	0	0	0	0
4-Imidazolone-5-propionic acid	C03680	4.141745568	5.329464411	4.312427183	6.381810763	4.077561101	4.766945	259.1934791	190.9824326	234.0788468	249.3555487	296.8546526	206.3471793	125.6373776	81.76988051	75.12007692	92.91790337	60.3427086	61.84421334
Gamma-Glutamylalanine	C03740	78.33628838	134.9060495	75.31380683	84.03940385	80.58915619	98.39676994	203.1343516	171.2735784	275.5365694	175.9560474	207.0573303	138.7357066	8.601497594	63.67275097	54.66869376	95.90093737	3.149923352	95.65438082
Thyrotropin releasing hormone	C03958	12.03356748	13.07612042	12.24360646	10.54340905	18.13838674	18.0226784	768.0613515	784.0754184	1104.224103	1341.552102	1009.084938	957.1418849	0	0	0	0.742760156	0	0
Menthyl pyrrolidone carboxylate	C03962	942.5471539	981.0122346	1009.523647	1053.988194	956.6110312	1013.207079	287.6957777	308.0541074	354.9932378	418.4624443	465.8224048	390.1762257	168.6770833	241.622028	238.6854643	227.213621	87.62513166	188.9109031
5'-O-beta-D-Glucosylpyridoxine	C03996	66.93795173	73.84258708	103.2489451	74.83277146	76.57055059	100.6594435	0	0	0	0	6.804632073	1.850486372	0	0	0	0	0	0
N-Acetyl-4-O-acetylneuraminic acid	C04015	4.662285111	4.886025515	6.212104874	8.134439712	7.416009032	10.36292553	45.83742234	44.97758658	46.54117883	41.99690136	38.14517868	54.34594062	149.0915044	138.3752783	219.8612537	134.5767573	151.4169871	149.8315701
D-Pantothenoyl-L-cysteine	C04079	15.13113737	13.70020278	15.4148445	26.80989327	8.81065577	9.191701844	16.47000687	33.70308787	10.61908918	16.40267149	18.11306134	12.68512179	0	52.14870408	36.90346511	20.87410734	19.05841639	0
Vomifoliol	C04166	469.74378	487.8860236	493.6448842	489.3128978	470.7502491	442.9409682	301.460065	371.7141665	346.3733587	412.8439393	484.542092	398.9781756	207.7487816	279.110598	263.7737255	298.663475	174.4972373	264.1873171
"PE-NMe2(14:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))"	C04308	923.2059793	809.8330314	835.9149835	791.3451613	772.326649	867.4179449	0	0	0	0	0	0	27.20183933	10.75564726	29.52750301	20.11616292	10.77746194	11.58682638
(Z)-[(4-hydroxyphenyl)acetaldehyde oxime]	C04353	208.8863878	216.9913832	200.3687519	167.2414642	188.4088438	194.2804248	263.7289092	234.1007392	187.5766728	232.4903209	219.4103177	199.2508903	149.9082477	234.1737838	327.2162162	233.4940588	192.285814	259.536894
3-alpha-hydroxy-5-beta-androstan-17-one	C04373	216.5445158	246.6604133	222.2721274	211.8106955	212.3669224	220.2605828	3.458853068	5.912918913	7.321222116	2.819930606	4.35212473	4.610060517	30.60932657	35.57253403	45.60236841	33.82051016	31.71686707	34.29866116
3-Hydroxy-L-proline	C04397	12.12201924	11.97503794	15.18130506	13.04499687	14.25290258	14.48724141	79.25825231	82.20501817	93.68916534	89.70276682	101.388545	94.59945462	26.22798557	27.75930295	35.70451495	46.59768415	27.86009397	21.62219517
"N-Succinyl-L,L-2,6-diaminopimelate"	C04421	131.885815	152.5257544	151.249067	152.2657097	144.1282328	137.566338	23.23254156	8.79736553	108.7785456	102.33514	127.0210625	120.4063714	5.828548388	8.138718262	13.29462139	10.47488159	0	10.10036143
S-(2-Methylpropionyl)-dihydrolipoamide-E	C04424	129.4425618	140.5757225	144.1488026	154.7306302	145.2652428	144.2321694	185.3464954	366.6199941	439.6272306	556.3518251	442.1847514	499.8584976	1.392095808	0.447761212	0.688085709	1.218367406	0	1.147540859
5-Methyltetrahydropteroyltri-L-glutamic acid	C04489	175.8510703	178.7067071	137.1989706	157.5641214	179.2061828	165.3141919	121.0946563	153.9592021	166.9389158	132.2263377	177.3054966	176.5708654	0	2.199570189	2.74020041	0	0	1.220579349
1-Methylguanosine	C04545	60.21716283	72.90122341	65.72082852	71.72381013	71.09798231	83.63040161	546.4872338	238.8466203	834.6696123	1158.741297	552.9476389	1105.719842	2.74608577	5.519946079	3.492081099	14.77168041	3.793506296	0
2-(3-Carboxy-3-(methylammonio)propyl)-L-histidine	C04692	18.70212126	20.89385445	35.2554597	24.8363005	31.17690525	26.29039148	0	0	0	0.002326291	0	0	0	0	0	0	0	28.19971934
15-Keto-prostaglandin E2	C04707	547.9189541	531.9023858	505.2111211	558.4534171	590.304382	552.954222	78.74399342	48.25477186	61.07444435	110.0323691	124.9537108	82.7189223	22.55784758	27.78490013	43.44296334	39.17415479	1.236938085	28.0077217
G(M3) Ganglioside	C04730	11132.71272	11566.54421	11247.30173	11436.19375	11012.22372	10971.82015	0.155361911	0.074668188	0.005385675	0.012513428	0.254137132	0.045048333	319.8979202	369.51665	304.4577734	292.2340856	152.2802697	330.6397078
5-Amino-6-ribitylamino uracil	C04732	12.29039948	13.53544906	19.20904554	15.36447613	22.51671495	23.89986893	0	0	0	0	0	0	0	0	0	0	0	0
5(6)-Epoxy Prostaglandin E1	C04741	416.0250269	466.273785	493.6355426	436.3957555	467.4273861	481.1834085	158.7053135	130.1740667	153.8175266	151.993688	166.0162821	157.9381294	1866.533188	2485.615231	2183.16545	2454.239309	2024.905618	1883.907331
2'-O-Methyladenosine	C04779	39.90032656	43.003471	55.04173087	53.40995437	55.21949073	52.97203268	0.539805909	0	0	0	2.129550842	0.041351114	0	0	0	0	0	0
SAICAR	C04823	38.39607015	48.59532985	53.171896	46.02512759	48.80620609	48.16809972	483.2132608	725.004194	378.9493798	584.9230454	413.3187451	517.8255589	1778.462435	1475.153511	1506.247892	1931.703801	1898.930179	2118.811203
17a-Hydroxypregnenolone	C05138	34.72532192	36.69954578	44.35397049	35.84439202	49.55958949	42.11396573	37.37874609	47.4162436	24.28105832	22.74653285	29.39260354	30.61881898	66.51816928	51.16238176	80.19650621	73.28007729	55.4101538	62.84106261
Trans-3-hydroxy-L-proline	C05147	1039.16406	996.5834466	1091.50222	1197.104772	1068.999932	1074.654784	2109.40996	1999.053294	1923.568424	2279.660822	2353.852017	1946.891275	1302.992481	1439.244626	1452.133089	1527.606404	1140.489087	1158.165976
Protopine	C05189	539.2179836	594.021059	484.8506392	396.7113851	475.1399327	467.410915	130.060913	144.1283057	119.3287086	153.6863586	170.5660568	152.1622041	323.436919	313.9876617	333.6063537	287.535572	137.7015458	321.7546899
Isosakuranetin	C05334	269.099204	255.5129387	336.8568202	312.4933666	252.6128037	258.8373998	0	0	0	0	2.883275216	2.139316275	0	0	0	0	0	0
Tautomycin	C05372	12259.877	12090.99451	11850.0502	12828.62225	11855.34769	12552.88065	21.2929607	33.14669285	0.098358805	3.585947145	4.896745057	1.198868855	463.9729405	390.3022898	365.3150778	266.9985718	238.4628115	358.7669919
5b-Cyprinol sulfate	C05468	5668.960239	5269.29794	5543.914553	5378.575952	5545.800644	5090.39242	1050.868068	1268.865569	1489.560266	1509.018776	1564.759551	1587.38789	2875.228951	3037.826015	2992.105924	2806.179277	2200.201383	2262.370325
Deoxyinosine	C05512	0	0	0	0	0	0	19.135884	27.75073126	18.82475898	25.43776982	19.88988573	20.29540285	0	0	0	0	0	0
2-Keto-6-acetamidocaproate	C05548	214.1011634	282.7723197	256.3549333	275.1754069	269.3909083	250.1006543	261.9075385	289.2209334	315.0278622	356.3042272	333.101185	263.6472506	0	0	0	0	0	0
Isopenicillin N	C05557	909.4455785	840.9048649	873.1552689	836.6895272	768.8199812	891.797877	265.9031034	291.760755	308.0244638	334.7456947	354.1081372	312.764111	677.3725932	857.1568156	783.9125226	621.445059	392.4076337	584.8284789
Normetanephrine	C05589	111.3777454	96.99781422	94.33517274	108.5283691	101.4789454	100.148541	7.716046499	5.707234111	10.45843141	12.82223616	17.92669452	7.090736187	37.18069306	51.5251814	39.77692411	32.02811575	27.45146409	31.83070015
